iter	Passed	Remaining
351	12941	23823
352	12976	23784
353	13013	23746
354	13048	23707
355	13082	23666
356	13117	23625
357	13151	23584
358	13186	23545
359	13223	23509
360	13259	23470
361	13295	23432
362	13333	23398
363	13368	23357
364	13405	23321
365	13442	23285
366	13479	23249
367	13514	23209
368	13550	23172
369	13586	23134
370	13622	23096
371	13661	23062
372	13697	23024
373	13732	22984
374	13769	22948
375	13805	22911
376	13841	22873
377	13883	22845
378	13916	22803
379	13953	22766
380	13989	22729
381	14024	22688
382	14056	22643
383	14092	22607
384	14126	22566
385	14164	22531
386	14198	22489
387	14241	22463
388	14276	22423
389	14310	22383
390	14344	22341
391	14378	22301
392	14414	22263
393	14450	22225
394	14484	22185
395	14519	22145
396	14554	22106
397	14599	22083
398	14637	22047
399	14676	22014
400	14710	21974
401	14746	21936
402	14785	21902
403	14820	21863
404	14854	21823
405	14888	21783
406	14925	21746
407	14961	21708
408	14996	21669
409	15030	21629
410	15064	21589
411	15100	21550
412	15137	21515
413	15168	21469
414	15206	21434
415	15241	21396
416	15277	21358
417	15313	21321
418	15351	21286
419	15393	21257
420	15429	21219
421	15464	21181
422	15499	21141
423	15537	21107
424	15572	21068
425	15608	21031
426	15646	20995
427	15686	20963
428	15719	20922
429	15765	20898
430	15800	20859
431	15841	20828
432	15875	20788
433	15915	20756
434	15951	20718
435	15987	20681
436	16029	20651
437	16062	20610
438	16097	20571
439	16133	20533
440	16169	20496
441	16206	20460
442	16245	20425
443	16281	20388
444	16320	20354
445	16357	20318
446	16395	20283
447	16434	20249
448	16472	20214
449	16508	20176
450	16544	20139
451	16582	20104
452	16619	20068
453	16655	20030
454	16693	19995
455	16729	19958
456	16767	19922
457	16809	19891
458	16847	19856
459	16877	19812
460	16917	19779
461	16953	19742
462	16989	19705
463	17026	19668
464	17062	19631
465	17093	19587
466	17130	19551
467	17166	19514
468	17203	19477
469	17240	19441
470	17290	19419
471	17327	19383
472	17366	19349
473	17405	19314
474	17442	19278
475	17480	19243
476	17518	19207
477	17555	19171
478	17591	19133
479	17634	19103
480	17678	19075
481	17723	19047
482	17761	19012
483	17800	18976
484	17837	18941
485	17874	18904
486	17912	18868
487	17950	18833
488	17987	18796
489	18024	18760
490	18061	18723
491	18098	18686
492	18134	18649
493	18171	18613
494	18209	18577
495	18245	18540
496	18285	18506
497	18319	18466
498	18357	18430
499	18394	18394
500	18430	18356
501	18464	18317
502	18501	18281
503	18537	18243
504	18573	18205
505	18611	18169
506	18648	18133
507	18685	18097
508	18722	18060
509	18768	18032
510	18804	17994
511	18841	17958
512	18876	17919
513	18912	17882
514	18948	17845
515	18985	17808
516	19021	17770
517	19054	17730
518	19094	17696
519	19129	17658
520	19167	17622
521	19204	17586
522	19238	17546
523	19275	17509
524	19314	17475
525	19351	17438
526	19389	17402
527	19427	17366
528	19463	17329
529	19502	17294
530	19536	17255
531	19577	17222
532	19618	17189
533	19656	17153
534	19693	17116
535	19730	17080
536	19767	17043
537	19803	17006
538	19841	16969
539	19878	16933
540	19917	16898
541	19953	16860
542	19988	16822
543	20025	16785
544	20067	16753
545	20100	16713
546	20137	16677
547	20174	16640
548	20211	16603
549	20250	16568
550	20287	16531
551	20326	16496
552	20366	16462
553	20403	16426
554	20440	16389
555	20477	16352
556	20514	16315
557	20554	16281
558	20591	16244
559	20634	16212
560	20679	16182
561	20717	16146
562	20754	16109
563	20789	16071
564	20827	16035
565	20863	15997
566	20900	15960
567	20945	15930
568	20982	15893
569	21022	15858
570	21059	15822
571	21095	15784
572	21131	15747
573	21171	15712
574	21208	15675
575	21244	15638
576	21281	15601
577	21319	15565
578	21356	15528
579	21393	15491
580	21429	15454
581	21470	15420
582	21508	15384
583	21548	15349
584	21586	15313
585	21624	15277
586	21661	15240
587	21697	15202
588	21739	15169
589	21776	15132
590	21812	15095
591	21846	15056
592	21883	15019
593	21923	14984
594	21959	14946
595	21997	14911
596	22034	14874
597	22069	14835
598	22104	14797
599	22142	14761
600	22178	14724
601	22217	14688
602	22255	14652
603	22294	14616
604	22331	14580
605	22375	14547
606	22413	14511
607	22451	14475
608	22489	14438
609	22530	14404
610	22567	14368
611	22605	14331
612	22643	14295
613	22679	14257
614	22719	14222
615	22757	14186
616	22793	14148
617	22831	14112
618	22875	14079
619	22911	14042
620	22947	14004
621	22983	13967
622	23020	13930
623	23060	13895
624	23091	13854
625	23128	13818
626	23165	13781
627	23205	13745
628	23242	13708
629	23279	13672
630	23317	13635
631	23354	13598
632	23392	13562
633	23430	13526
634	23467	13489
635	23512	13456
636	23551	13420
637	23588	13384
638	23621	13344
639	23658	13308
640	23696	13271
641	23732	13234
642	23769	13197
643	23797	13155
644	23833	13117
645	23868	13079
646	23907	13043
647	23943	13006
648	23979	12968
649	24015	12931
650	24053	12895
651	24098	12862
652	24135	12825
653	24173	12788
654	24210	12752
655	24247	12715
656	24280	12675
657	24316	12638
658	24352	12601
659	24388	12563
660	24425	12526
661	24460	12488
662	24494	12450
663	24531	12413
664	24566	12375
665	24601	12337
666	24638	12300
667	24673	12262
668	24708	12225
669	24743	12186
670	24784	12152
671	24820	12114
672	24856	12077
673	24895	12041
674	24931	12003
675	24965	11965
676	25000	11928
677	25036	11890
678	25072	11853
679	25108	11815
680	25143	11777
681	25179	11740
682	25217	11704
683	25253	11667
684	25291	11630
685	25326	11592
686	25361	11554
687	25397	11517
688	25439	11482
689	25474	11444
690	25511	11408
691	25546	11370
692	25583	11333
693	25618	11295
694	25653	11257
695	25690	11221
696	25726	11183
697	25761	11146
698	25797	11108
699	25832	11071
700	25867	11033
701	25902	10995
702	25937	10957
703	25973	10920
704	26005	10881
705	26039	10843
706	26074	10805
707	26109	10768
708	26144	10730
709	26181	10693
710	26215	10655
711	26261	10622
712	26297	10585
713	26332	10547
714	26367	10510
715	26403	10472
716	26441	10436
717	26476	10398
718	26511	10361
719	26558	10328
720	26594	10290
721	26636	10256
722	26680	10221
723	26715	10184
724	26751	10147
725	26786	10109
726	26822	10072
727	26858	10035
728	26894	9997
729	26932	9961
730	26968	9923
731	27004	9887
732	27040	9849
733	27075	9812
734	27110	9774
735	27147	9737
736	27183	9700
737	27222	9664
738	27259	9627
739	27295	9590
740	27331	9553
741	27368	9516
742	27400	9477
743	27435	9440
744	27469	9402
745	27504	9364
746	27545	9329
747	27584	9293
748	27621	9256
749	27658	9219
750	27694	9182
751	27740	9148
752	27774	9110
753	27809	9072
754	27844	9035
755	27878	8997
756	27914	8960
757	27949	8923
758	27986	8886
759	28020	8848
760	28055	8811
761	28091	8773
762	28120	8734
763	28158	8698
764	28194	8660
765	28233	8624
766	28270	8588
767	28306	8550
768	28343	8514
769	28379	8477
770	28417	8440
771	28451	8402
772	28488	8365
773	28524	8328
774	28559	8291
775	28595	8254
776	28629	8216
777	28663	8179
778	28699	8142
779	28736	8105
780	28773	8068
781	28808	8031
782	28843	7993
783	28879	7956
784	28916	7919
785	28951	7882
786	28989	7845
787	29024	7808
788	29059	7771
789	29098	7735
790	29133	7697
791	29163	7659
792	29200	7622
793	29237	7585
794	29273	7548
795	29310	7511
796	29345	7474
797	29381	7437
798	29418	7400
799	29454	7363
800	29491	7326
801	29529	7290
802	29575	7255
803	29610	7218
804	29646	7181
805	29680	7143
806	29716	7107
807	29754	7070
808	29789	7033
809	29825	6996
810	29860	6958
811	29902	6923
812	29938	6886
813	29973	6848
814	30009	6812
815	30046	6775
816	30082	6738
817	30116	6700
818	30152	6663
819	30188	6626
820	30225	6589
821	30258	6552
822	30295	6515
823	30330	6478
824	30368	6441
825	30403	6404
826	30439	6367
827	30474	6330
828	30514	6294
829	30553	6257
830	30587	6220
831	30617	6182
832	30652	6145
833	30687	6108
834	30722	6070
835	30756	6033
836	30791	5996
837	30827	5959
838	30861	5922
839	30897	5885
840	30934	5848
841	30969	5811
842	31003	5774
843	31038	5736
844	31074	5700
845	31110	5663
846	31147	5626
847	31182	5589
848	31211	5551
849	31249	5514
850	31286	5477
851	31323	5441
852	31359	5404
853	31394	5367
854	31429	5330
855	31472	5294
856	31516	5258
857	31553	5222
858	31592	5185
859	31629	5148
860	31665	5112
861	31700	5075
862	31736	5038
863	31770	5000
864	31806	4963
865	31841	4927
866	31876	4889
867	31913	4853
868	31948	4816
869	31985	4779
870	32021	4742
871	32053	4705
872	32088	4668
873	32122	4630
874	32158	4594
875	32193	4557
876	32226	4519
877	32267	4483
878	32305	4447
879	32343	4410
880	32381	4373
881	32418	4337
882	32456	4300
883	32494	4263
884	32531	4227
885	32568	4190
886	32605	4153
887	32652	4118
888	32698	4082
889	32735	4045
890	32771	4009
891	32808	3972
892	32846	3935
893	32880	3898
894	32920	3862
895	32959	3825
896	32997	3789
897	33034	3752
898	33072	3715
899	33110	3678
900	33146	3642
901	33185	3605
902	33222	3568
903	33262	3532
904	33299	3495
905	33338	3458
906	33375	3422
907	33416	3385
908	33453	3349
909	33491	3312
910	33528	3275
911	33566	3238
912	33605	3202
913	33642	3165
914	33682	3128
915	33721	3092
916	33756	3055
917	33794	3018
918	33831	2981
919	33869	2945
920	33900	2907
921	33940	2871
922	33976	2834
923	34011	2797
924	34048	2760
925	34086	2723
926	34125	2687
927	34161	2650
928	34199	2613
929	34238	2577
930	34274	2540
931	34312	2503
932	34349	2466
933	34387	2429
934	34423	2393
935	34461	2356
936	34497	2319
937	34535	2282
938	34579	2246
939	34616	2209
940	34652	2172
941	34689	2135
942	34726	2099
943	34763	2062
944	34800	2025
945	34836	1988
946	34873	1951
947	34911	1914
948	34949	1878
949	34987	1841
950	35023	1804
951	35059	1767
952	35095	1730
953	35134	1694
954	35174	1657
955	35212	1620
956	35249	1583
957	35287	1547
958	35322	1510
959	35360	1473
960	35400	1436
961	35437	1399
962	35477	1363
963	35516	1326
964	35564	1289
965	35608	1253
966	35643	1216
967	35681	1179
968	35714	1142
969	35750	1105
970	35787	1068
971	35823	1031
972	35860	995
973	35897	958
974	35937	921
975	35975	884
976	36011	847
977	36048	810
978	36085	774
979	36124	737
980	36161	700
981	36203	663
982	36238	626
983	36276	589
984	36313	553
985	36352	516
986	36390	479
987	36428	442
988	36465	405
989	36500	368
990	36537	331
991	36576	294
992	36612	258
993	36650	221
994	36688	184
995	36726	147
996	36774	110
997	36811	73
998	36848	36
999	36886	0
