iteration,best_fitness,best_cv_score,best_subset_size,selected_ratio,n_samples
1.0,0.7894949864939467,0.7930779398050406,13.0,0.5652173913043478,315358.0
2.0,0.7905556819874262,0.7923926519855424,9.0,0.391304347826087,315358.0
3.0,0.791608661028024,0.7943346158825011,11.0,0.4782608695652174,315358.0
4.0,0.791608661028024,0.7943346158825011,11.0,0.4782608695652174,315358.0
5.0,0.791831745587504,0.7945599538213699,11.0,0.4782608695652174,315358.0
6.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
7.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
8.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
9.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
10.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
11.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
12.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
13.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
14.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
15.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
16.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
17.0,0.7923291949465175,0.7937449048647301,8.0,0.34782608695652173,315358.0
18.0,0.7927170243851351,0.7954541748290781,11.0,0.4782608695652174,315358.0
19.0,0.7927170243851351,0.7954541748290781,11.0,0.4782608695652174,315358.0
20.0,0.7927170243851351,0.7954541748290781,11.0,0.4782608695652174,315358.0
