n_particles,n_iterations,model,n_selected,selected_features,accuracy_pso,f1_pso,precision_pso,recall_pso
10,15,logistic_regression,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7230339928970066,0.4772574930575505,0.351952545724172,0.7411152416356878
10,15,random_forest,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7547945205479452,0.4897592905405405,0.3796546362222768,0.689814126394052
10,15,catboost,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7228310502283105,0.47896995708154505,0.35254475254475254,0.7467657992565055
15,5,logistic_regression,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7193429731100964,0.47676700796897536,0.34956135788342174,0.7495167286245353
15,5,random_forest,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7517884322678843,0.48971289994523975,0.37712357926021123,0.6981412639405205
15,5,catboost,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7217021816336885,0.4795654545885813,0.3521195443937441,0.7515985130111524
15,10,logistic_regression,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7193429731100964,0.47676700796897536,0.34956135788342174,0.7495167286245353
15,10,random_forest,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7517884322678843,0.48971289994523975,0.37712357926021123,0.6981412639405205
15,10,catboost,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7217021816336885,0.4795654545885813,0.3521195443937441,0.7515985130111524
15,15,logistic_regression,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7169583967529173,0.471621717614188,0.34600284890386684,0.7404460966542751
15,15,random_forest,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7502536783358701,0.48563218390804597,0.3743455497382199,0.6910780669144981
15,15,catboost,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7207382039573821,0.47744048607979495,0.35066067008332463,0.7478066914498142
