model,n_particles,n_iterations,n_selected,accuracy_baseline,accuracy_pso,delta_accuracy,f1_baseline,f1_pso,delta_f1
catboost,15,15,11,0.7285514967021817,0.7203576864535769,-0.008193810248604771,0.48645405898303457,0.4776706389632543,-0.008783420019780275
logistic_regression,15,15,11,0.7225773718924404,0.7169583967529173,-0.005618975139523141,0.47985731272294885,0.471621717614188,-0.008235595108760874
random_forest,15,15,11,0.7693049213597158,0.7502536783358701,-0.019051243023845754,0.49828974953106037,0.48563218390804597,-0.0126575656230144
