model,accuracy_baseline,f1_baseline,precision_baseline,recall_baseline,n_features_baseline
random_forest,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23
catboost,0.7285514967021817,0.48645405898303457,0.3591397087481841,0.7536059479553904,23
logistic_regression,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23
