n_particles,n_iterations,model,n_selected,selected_features,accuracy_pso,f1_pso,precision_pso,recall_pso,accuracy_baseline,f1_baseline,precision_baseline,recall_baseline,n_features_baseline,delta_accuracy,delta_f1
5,10,logistic_regression,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7191527143581938,0.47684528872507326,0.3494839648126342,0.7502602230483272,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.003424657534246589,-0.0030120239978755903
5,15,logistic_regression,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7191527143581938,0.47684528872507326,0.3494839648126342,0.7502602230483272,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.003424657534246589,-0.0030120239978755903
10,5,logistic_regression,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7191527143581938,0.47684528872507326,0.3494839648126342,0.7502602230483272,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.003424657534246589,-0.0030120239978755903
10,10,logistic_regression,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7191527143581938,0.47684528872507326,0.3494839648126342,0.7502602230483272,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.003424657534246589,-0.0030120239978755903
15,5,logistic_regression,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7193429731100964,0.47676700796897536,0.34956135788342174,0.7495167286245353,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.0032343987823439946,-0.003090304753973483
15,10,logistic_regression,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7193429731100964,0.47676700796897536,0.34956135788342174,0.7495167286245353,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.0032343987823439946,-0.003090304753973483
15,15,logistic_regression,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7169583967529173,0.471621717614188,0.34600284890386684,0.7404460966542751,0.7225773718924404,0.47985731272294885,0.35276223776223775,0.7501115241635687,23,-0.005618975139523141,-0.008235595108760874
10,15,random_forest,11,"AGE, WGHT (lbs), HGHT (ft), INCOME_LEVEL, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, EXER_STATUS, HIGH_BP, CHOL_MEDS, HAD_HEARTDISEASE",0.7547945205479452,0.4897592905405405,0.3796546362222768,0.689814126394052,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.014510400811770685,-0.008530458990519851
15,5,random_forest,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7517884322678843,0.48971289994523975,0.37712357926021123,0.6981412639405205,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.017516489091831566,-0.008576849585820612
15,10,random_forest,13,"AGE, WGHT (lbs), HGHT (ft), EDUCATION_LEVEL, MARITAL_STATUS, INSR_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS, HAD_STROKE",0.7517884322678843,0.48971289994523975,0.37712357926021123,0.6981412639405205,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.017516489091831566,-0.008576849585820612
5,5,random_forest,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7477042110603754,0.4861667226369766,0.3725109853133288,0.6996282527881041,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.02160071029934041,-0.012123026894083788
5,10,random_forest,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7477042110603754,0.4861667226369766,0.3725109853133288,0.6996282527881041,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.02160071029934041,-0.012123026894083788
5,15,random_forest,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7477042110603754,0.4861667226369766,0.3725109853133288,0.6996282527881041,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.02160071029934041,-0.012123026894083788
10,5,random_forest,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7477042110603754,0.4861667226369766,0.3725109853133288,0.6996282527881041,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.02160071029934041,-0.012123026894083788
10,10,random_forest,13,"AGE, WGHT (lbs), EDUCATION_LEVEL, INCOME_LEVEL, DCTR_STATUS, COST_STATUS, CHKP_STATUS, GEN_HLTH, PHYS_HLTH_DAYS, MENT_HLTH_DAYS, SMOK_STATUS, HIGH_BP, CHOL_MEDS",0.7477042110603754,0.4861667226369766,0.3725109853133288,0.6996282527881041,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.02160071029934041,-0.012123026894083788
15,15,random_forest,11,"SEX, AGE, BMI, EMPLOYMENT_STATUS, INCOME_LEVEL, INSR_STATUS, DCTR_STATUS, GEN_HLTH, SMOK_STATUS, HIGH_CHOL, CHOL_MEDS",0.7502536783358701,0.48563218390804597,0.3743455497382199,0.6910780669144981,0.7693049213597158,0.49828974953106037,0.39610560477151124,0.6715241635687732,23,-0.019051243023845754,-0.0126575656230144
